# LRAN range test trace, captured 2026-09-05 15:31:50
# note: seven-site ambient survey, R11 hold discipline, ~5 min per site, 3.0dBi; site 0 bridge-house INDOORS at the bridge target location (office, NW side); other sites outdoors at node target locations
# schema: docs/rangetest/data/README.md
#
# board=heltec_wifi_lora_32_V3
# freq_hz=915000000
# sf=7
# bw_khz=125.0
# cr=4/5
# conducted_dbm=-9
# antenna_gain_dbi=3.0
# eirp_ceiling_dbm=-1.0
# sync_word=0x1424
# explicit_header=1
# crc=1
# preamble_symbols=8
# payload_len=16
# role=SURVEY
#
site_index,site_name,bin_index,freq_hz,passes,samples,peak_dbm10,mean_dbm10,floor_dbm10,dropped
# site=0 bridge-house
# passes=74
# hold_discipline=1
# bins_sampled=130 of 130
# dwell_ms=30 settle_ms=4 sample_interval_ms=3
0,bridge-house,87,919400000,74,666,-1130,-1143,-1160,0
0,bridge-house,88,919600000,74,666,-1130,-1143,-1160,0
0,bridge-house,89,919800000,74,666,-1130,-1142,-1160,0
0,bridge-house,90,920000000,74,666,-1130,-1140,-1160,0
0,bridge-house,91,920200000,74,666,-1130,-1143,-1160,0
0,bridge-house,92,920400000,74,666,-880,-1139,-1150,0
0,bridge-house,93,920600000,74,666,-1130,-1143,-1160,0
0,bridge-house,94,920800000,74,666,-1130,-1143,-1150,0
0,bridge-house,95,921000000,74,663,-1130,-1143,-1150,0
0,bridge-house,96,921200000,74,666,-1120,-1143,-1150,0
0,bridge-house,97,921400000,74,666,-1130,-1142,-1160,0
0,bridge-house,98,921600000,74,666,-1130,-1143,-1160,0
0,bridge-house,99,921800000,74,666,-1130,-1143,-1160,0
0,bridge-house,100,922000000,74,666,-1130,-1143,-1150,0
0,bridge-house,101,922200000,74,666,-1130,-1143,-1160,0
0,bridge-house,102,922400000,74,666,-1130,-1142,-1150,0
0,bridge-house,103,922600000,74,666,-1130,-1143,-1160,0
0,bridge-house,104,922800000,74,666,-1130,-1143,-1160,0
0,bridge-house,105,923000000,74,666,-1130,-1142,-1160,0
0,bridge-house,106,923200000,74,666,-1130,-1143,-1160,0
0,bridge-house,107,923400000,74,666,-1130,-1143,-1160,0
0,bridge-house,108,923600000,74,666,-1130,-1142,-1160,0
0,bridge-house,109,923800000,74,666,-1100,-1143,-1160,0
0,bridge-house,110,924000000,74,666,-800,-1141,-1160,0
0,bridge-house,111,924200000,74,666,-1130,-1143,-1160,0
0,bridge-house,112,924400000,74,666,-1130,-1144,-1160,0
0,bridge-house,113,924600000,74,666,-1120,-1143,-1160,0
0,bridge-house,114,924800000,74,666,-1130,-1144,-1160,0
0,bridge-house,115,925000000,74,666,-1130,-1144,-1160,0
0,bridge-house,116,925200000,74,666,-1130,-1144,-1160,0
0,bridge-house,117,925400000,74,666,-1130,-1145,-1160,0
0,bridge-house,118,925600000,74,666,-1130,-1145,-1160,0
0,bridge-house,119,925800000,74,666,-1130,-1145,-1160,0
0,bridge-house,120,926000000,74,666,-1130,-1145,-1160,0
0,bridge-house,121,926200000,74,666,-1130,-1145,-1160,0
0,bridge-house,122,926400000,74,666,-1130,-1146,-1160,0
0,bridge-house,123,926600000,74,666,-1130,-1146,-1160,0
0,bridge-house,124,926800000,74,666,-1130,-1146,-1160,0
0,bridge-house,125,927000000,74,666,-1130,-1147,-1160,0
