# LRAN range test trace, captured 2026-09-09 15:30:40
# note: responder log, B1b gate walk of 2026-09-09, Heltec
#
# ANNOTATED 2026-09-09, same day. This log covers the THIRD AND FOURTH sweeps of
# 2026-09-09-b1b-walk-gate.csv - the optional Heltec A/B at the gate, both at the same
# spot. Position 0 is the third sweep, which started with no button press and while the
# board was still being placed; position 1 is the fourth, the settled repeat. Neither is
# G1: this file's position 1 and the Wio log's position 1 are different locations.
#
# Position 0 exists because Heltec #1 was swapped in as responder without resetting the
# initiator. See the sweep trace's header for the mechanism.
#
# Closes exactly against the sweep trace: 192 heard and 192 echoed at both positions.
# No entry accumulated from an earlier run - both counts are exactly 192.
# schema: docs/rangetest/data/README.md
#
# board=heltec_wifi_lora_32_V3
# freq_hz=915000000
# sf=7
# bw_khz=125.0
# cr=4/5
# conducted_dbm=-9
# antenna_gain_dbi=3.0
# eirp_ceiling_dbm=-1.0
# sync_word=0x1424
# explicit_header=1
# crc=1
# preamble_symbols=8
# payload_len=16
# role=RESPONDER
# test_points=24
# probes_per_point=8
# total_probes=192
# duration_nominal_s=382
# duration_worst_s=430
# pa_optimize=1
# pa_duty_cycle=2
# pa_hp_max=2
# pa_val=-5
# pa_table=RadioLib-7.7.1-paOptTable
#
RESP,position,probes_heard,echoes_sent,rssi_mean10,rssi_min10,rssi_max10,snr_mean10,snr_min10,snr_max10
RESP,0,192,192,-917,-1070,-830,90,40,133
RESP,1,192,192,-895,-990,-850,93,40,130
# responder log complete
# resp tuned to config 0 sf=7 cr=4/5
# resp tuned to config 1 sf=7 cr=4/8
# resp tuned to config 2 sf=9 cr=4/5
# capture ended: sweep count reached - 2 rows
