# LRAN range test trace, captured 2026-09-05 12:24:20
# note: seven-site ambient survey (M20), ~5 min per site, 3.0dBi at 1.2m AGL
# provenance: re-dumped from NVS 2026-09-05 12:24. The first capture of this same
#   campaign lost 19184 consecutive bytes (sites 3 and 4, tails of 2 and 4) in
#   capture.py's blind role-selection window; see engineering-log 2026-09-05. The
#   585 rows it did capture are byte-identical to the corresponding rows here.
# CAVEAT: peak_dbm10 is NOT reliably site-attributable. The scan was left running
#   while walking between sites, so a peak may have been picked up in transit and
#   attributed to the destination site. floor_dbm10 and mean_dbm10 are unaffected.
# schema: docs/rangetest/data/README.md
#
# board=heltec_wifi_lora_32_V3
# freq_hz=915000000
# sf=7
# bw_khz=125.0
# cr=4/5
# conducted_dbm=-9
# antenna_gain_dbi=3.0
# eirp_ceiling_dbm=-1.0
# sync_word=0x1424
# explicit_header=1
# crc=1
# preamble_symbols=8
# payload_len=16
# role=SURVEY
#
site_index,site_name,bin_index,freq_hz,passes,samples,peak_dbm10,mean_dbm10,floor_dbm10,dropped
# site=0 bridge-house
# passes=75
# bins_sampled=130 of 130
# dwell_ms=30 settle_ms=4 sample_interval_ms=3
0,bridge-house,81,918200000,75,668,-1130,-1148,-1170,0
0,bridge-house,82,918400000,75,675,-1120,-1147,-1160,0
0,bridge-house,83,918600000,75,671,-1130,-1147,-1160,0
0,bridge-house,84,918800000,75,669,-1130,-1148,-1160,0
0,bridge-house,85,919000000,75,675,-1130,-1148,-1160,0
0,bridge-house,86,919200000,75,675,-1140,-1148,-1160,0
0,bridge-house,87,919400000,75,675,-1130,-1148,-1160,0
0,bridge-house,88,919600000,75,675,-1130,-1148,-1160,0
0,bridge-house,89,919800000,75,675,-1140,-1148,-1160,0
0,bridge-house,90,920000000,75,675,-1120,-1138,-1150,0
0,bridge-house,91,920200000,75,675,-1130,-1148,-1160,0
0,bridge-house,92,920400000,75,675,-1140,-1148,-1160,0
0,bridge-house,93,920600000,75,675,-1130,-1148,-1160,0
0,bridge-house,94,920800000,75,675,-1130,-1148,-1160,0
0,bridge-house,95,921000000,75,675,-1130,-1148,-1160,0
0,bridge-house,96,921200000,75,675,-1130,-1148,-1160,0
0,bridge-house,97,921400000,75,675,-1140,-1148,-1160,0
0,bridge-house,98,921600000,75,675,-1130,-1148,-1160,0
0,bridge-house,99,921800000,75,675,-1130,-1148,-1160,0
0,bridge-house,100,922000000,75,675,-1130,-1148,-1160,0
0,bridge-house,101,922200000,75,675,-1140,-1149,-1170,0
0,bridge-house,102,922400000,75,675,-1130,-1149,-1160,0
0,bridge-house,103,922600000,75,675,-1140,-1149,-1250,0
0,bridge-house,104,922800000,75,675,-1140,-1149,-1160,0
