# M25 capture opened 2026-09-19T16:38:25Z port=/dev/cu.usbserial-3 baud=115200
2026-09-19T16:38:25Z,#PORT-OPEN
2026-09-19T16:38:25Z,#RESET
2026-09-19T16:38:25Z,ESP-ROM:esp32s3-20210327
2026-09-19T16:38:25Z,Build:Mar 27 2021
2026-09-19T16:38:25Z,rst:0x1 (POWERON),boot:0x29 (SPI_FAST_FLASH_BOOT)
2026-09-19T16:38:25Z,SPIWP:0xee
2026-09-19T16:38:25Z,mode:DIO, clock div:1
2026-09-19T16:38:25Z,load:0x3fce3808,len:0x4bc
2026-09-19T16:38:25Z,load:0x403c9700,len:0xbd8
2026-09-19T16:38:25Z,load:0x403cc700,len:0x2a0c
2026-09-19T16:38:25Z,entry 0x403c98d0
2026-09-19T16:38:25Z,LRAN chan-capture - listen-only channel sampler, never transmits (6bf9a38)
2026-09-19T16:38:25Z,Board: heltec_wifi_lora_32_V3
2026-09-19T16:38:25Z,MAC: 44:1b:f6:fa:bc:2c
2026-09-19T16:38:25Z,capture: sampling 917200000 Hz (stored)
2026-09-19T16:38:25Z,PHY: 917.2 MHz, SF9, BW 125 kHz, CR 4/5, receive only
2026-09-19T16:38:25Z,CHAN-BOOT,6bf9a38,917200000,9,1250,1000,-1100,10
2026-09-19T16:38:25Z,radio: up, receiving
2026-09-19T16:38:26Z,CHAN,0,164,1000,99,1,12,0,-1000,-1130,-1111
2026-09-19T16:38:27Z,CHAN,1,1164,1000,100,0,17,0,-1100,-1130,-1112
2026-09-19T16:38:28Z,CHAN,2,2164,1000,100,0,9,0,-1100,-1130,-1113
2026-09-19T16:38:29Z,CHAN,3,3164,1000,100,0,15,0,-1100,-1130,-1114
2026-09-19T16:38:30Z,CHAN,4,4164,1000,100,0,13,0,-1090,-1130,-1113
2026-09-19T16:38:31Z,CHAN,5,5164,1000,100,0,14,0,-1090,-1130,-1113
2026-09-19T16:38:32Z,CHAN,6,6164,1000,100,0,14,0,-1090,-1130,-1113
2026-09-19T16:38:33Z,CHAN,7,7164,1000,100,0,15,0,-1100,-1130,-1113
2026-09-19T16:38:34Z,CHAN,8,8164,1000,100,0,13,0,-1090,-1130,-1113
2026-09-19T16:38:35Z,CHAN,9,9164,1000,100,0,13,0,-1100,-1130,-1113
2026-09-19T16:38:35Z,CHANSUM,0,9,10,10000,999,1,135,0,10,0,-1000,-1130,-1130,-1130
2026-09-19T16:38:36Z,CHAN,10,10164,1000,100,0,21,0,-1090,-1130,-1113
2026-09-19T16:38:37Z,CHAN,11,11164,1000,100,0,11,0,-1100,-1130,-1114
2026-09-19T16:38:38Z,CHAN,12,12164,1000,100,0,12,0,-1100,-1130,-1113
2026-09-19T16:38:39Z,CHAN,13,13164,1000,100,0,14,0,-1090,-1130,-1112
2026-09-19T16:38:40Z,CHAN,14,14164,1000,100,0,14,0,-1090,-1130,-1113
2026-09-19T16:38:41Z,CHAN,15,15164,1000,100,0,13,0,-1090,-1130,-1113
2026-09-19T16:38:42Z,CHAN,16,16164,1000,100,0,20,0,-1100,-1130,-1113
2026-09-19T16:38:43Z,CHAN,17,17164,1000,100,0,12,0,-1100,-1130,-1113
2026-09-19T16:38:44Z,CHAN,18,18164,1000,100,0,12,0,-1090,-1130,-1113
2026-09-19T16:38:45Z,CHAN,19,19164,1000,100,0,15,0,-1090,-1130,-1113
